state,confirmed_cases,deaths,date
Afghanistan,0,0,2019-12-31
Afghanistan,0,0,2020-01-01
Afghanistan,0,0,2020-01-02
Afghanistan,0,0,2020-01-03
Afghanistan,0,0,2020-01-04
Afghanistan,0,0,2020-01-05
Afghanistan,0,0,2020-01-06
Afghanistan,0,0,2020-01-07
Afghanistan,0,0,2020-01-08
Afghanistan,0,0,2020-01-09
Afghanistan,0,0,2020-01-10
Afghanistan,0,0,2020-01-11
Afghanistan,0,0,2020-01-12
Afghanistan,0,0,2020-01-13
Afghanistan,0,0,2020-01-14
Afghanistan,0,0,2020-01-15
Afghanistan,0,0,2020-01-16
Afghanistan,0,0,2020-01-17
Afghanistan,0,0,2020-01-18
Afghanistan,0,0,2020-01-19
Afghanistan,0,0,2020-01-20
Afghanistan,0,0,2020-01-21
Afghanistan,0,0,2020-01-22
Afghanistan,0,0,2020-01-23
Afghanistan,0,0,2020-01-24
Afghanistan,0,0,2020-01-25
Afghanistan,0,0,2020-01-26
Afghanistan,0,0,2020-01-27
Afghanistan,0,0,2020-01-28
Afghanistan,0,0,2020-01-29
Afghanistan,0,0,2020-01-30
Afghanistan,0,0,2020-01-31
Afghanistan,0,0,2020-02-01
Afghanistan,0,0,2020-02-02
Afghanistan,0,0,2020-02-03
Afghanistan,0,0,2020-02-04
Afghanistan,0,0,2020-02-05
Afghanistan,0,0,2020-02-06
Afghanistan,0,0,2020-02-07
Afghanistan,0,0,2020-02-08
Afghanistan,0,0,2020-02-09
Afghanistan,0,0,2020-02-10
Afghanistan,0,0,2020-02-11
Afghanistan,0,0,2020-02-12
Afghanistan,0,0,2020-02-13
Afghanistan,0,0,2020-02-14
Afghanistan,0,0,2020-02-15
Afghanistan,0,0,2020-02-16
Afghanistan,0,0,2020-02-17
Afghanistan,0,0,2020-02-18
Afghanistan,0,0,2020-02-19
Afghanistan,0,0,2020-02-20
Afghanistan,0,0,2020-02-21
Afghanistan,0,0,2020-02-22
Afghanistan,0,0,2020-02-23
Afghanistan,0,0,2020-02-24
Afghanistan,1,0,2020-02-25
Afghanistan,1,0,2020-02-26
Afghanistan,1,0,2020-02-27
Afghanistan,1,0,2020-02-28
Afghanistan,1,0,2020-02-29
Afghanistan,1,0,2020-03-01
Afghanistan,1,0,2020-03-02
Afghanistan,4,0,2020-03-08
Afghanistan,7,0,2020-03-11
Afghanistan,10,0,2020-03-15
Afghanistan,16,0,2020-03-16
Afghanistan,21,0,2020-03-17
Afghanistan,22,0,2020-03-18
Afghanistan,22,0,2020-03-19
Afghanistan,22,0,2020-03-20
Afghanistan,24,0,2020-03-21
Afghanistan,24,0,2020-03-22
Albania,2,0,2020-03-09
Albania,6,0,2020-03-10
Albania,10,0,2020-03-11
Albania,11,1,2020-03-12
Albania,23,1,2020-03-13
Albania,33,1,2020-03-14
Albania,38,1,2020-03-15
Albania,42,1,2020-03-16
Albania,51,1,2020-03-17
Albania,55,1,2020-03-18
Albania,59,2,2020-03-19
Albania,70,2,2020-03-20
Albania,70,2,2020-03-21
Albania,76,2,2020-03-22
Algeria,0,0,2019-12-31
Algeria,0,0,2020-01-01
Algeria,0,0,2020-01-02
Algeria,0,0,2020-01-03
Algeria,0,0,2020-01-04
Algeria,0,0,2020-01-05
Algeria,0,0,2020-01-06
Algeria,0,0,2020-01-07
Algeria,0,0,2020-01-08
Algeria,0,0,2020-01-09
Algeria,0,0,2020-01-10
Algeria,0,0,2020-01-11
Algeria,0,0,2020-01-12
Algeria,0,0,2020-01-13
Algeria,0,0,2020-01-14
Algeria,0,0,2020-01-15
Algeria,0,0,2020-01-16
Algeria,0,0,2020-01-17
Algeria,0,0,2020-01-18
Algeria,0,0,2020-01-19
Algeria,0,0,2020-01-20
Algeria,0,0,2020-01-21
Algeria,0,0,2020-01-22
Algeria,0,0,2020-01-23
Algeria,0,0,2020-01-24
Algeria,0,0,2020-01-25
Algeria,0,0,2020-01-26
Algeria,0,0,2020-01-27
Algeria,0,0,2020-01-28
Algeria,0,0,2020-01-29
Algeria,0,0,2020-01-30
Algeria,0,0,2020-01-31
Algeria,0,0,2020-02-01
Algeria,0,0,2020-02-02
Algeria,0,0,2020-02-03
Algeria,0,0,2020-02-04
Algeria,0,0,2020-02-05
Algeria,0,0,2020-02-06
Algeria,0,0,2020-02-07
Algeria,0,0,2020-02-08
Algeria,0,0,2020-02-09
Algeria,0,0,2020-02-10
Algeria,0,0,2020-02-11
Algeria,0,0,2020-02-12
Algeria,0,0,2020-02-13
Algeria,0,0,2020-02-14
Algeria,0,0,2020-02-15
Algeria,0,0,2020-02-16
Algeria,0,0,2020-02-17
Algeria,0,0,2020-02-18
Algeria,0,0,2020-02-19
Algeria,0,0,2020-02-20
Algeria,0,0,2020-02-21
Algeria,0,0,2020-02-22
Algeria,0,0,2020-02-23
Algeria,0,0,2020-02-24
Algeria,0,0,2020-02-25
Algeria,1,0,2020-02-26
Algeria,1,0,2020-02-27
Algeria,1,0,2020-02-28
Algeria,1,0,2020-02-29
Algeria,1,0,2020-03-01
Algeria,3,0,2020-03-02
Algeria,5,0,2020-03-04
Algeria,12,0,2020-03-05
Algeria,17,0,2020-03-06
Algeria,20,0,2020-03-09
Algeria,20,0,2020-03-12
Algeria,24,1,2020-03-13
Algeria,26,2,2020-03-14
Algeria,37,2,2020-03-15
Algeria,48,4,2020-03-16
Algeria,60,4,2020-03-17
Algeria,60,5,2020-03-18
Algeria,73,6,2020-03-19
