state,state_ID,suspected_cases,confirmed_cases,not_confirmed_cases,date
Acre,AC,3,0,0,2020/03/15
Alagoas,AL,14,1,21,2020/03/15
Amapá,AP,1,0,0,2020/03/15
Amazonas,AM,0,1,7,2020/03/15
Bahia,BA,65,2,36,2020/03/15
Ceará,CE,22,0,59,2020/03/15
Distrito Federal,DF,81,8,91,2020/03/15
Espirito Santo,ES,51,1,21,2020/03/15
Goiás,GO,4,3,49,2020/03/15
Maranhão,MA,6,0,2,2020/03/15
Mato Grosso,MT,8,0,7,2020/03/15
Mato Grosso do Sul,MS,15,0,16,2020/03/15
Minas Gerais,MG,106,2,85,2020/03/15
Pará,PA,1,0,23,2020/03/15
Parába,PB,27,0,11,2020/03/15
Paraná,PR,80,6,50,2020/03/15
Pernambuco,PE,18,2,23,2020/03/15
Piauí,PI,1,0,2,2020/03/15
Rio de Janeiro,RJ,95,24,147,2020/03/15
Rio Grande do Norte,RN,14,1,15,2020/03/15
Rio Grande do Sul,RS,66,6,217,2020/03/15
Rondônia,RO,2,0,1,2020/03/15
Roraima,RR,2,0,0,2020/03/15
São Paulo,SP,1125,136,551,2020/03/15
Santa Catarina,SC,102,6,41,2020/03/15
Sergipe,SE,1,1,11,2020/03/15
Tocantins,TO,3,0,0,2020/03/15
Acre,AC,3,0,0,2020/03/14
Alagoas,AL,6,1,7,2020/03/14
Amapá,AP,1,0,0,2020/03/14
Amazonas,AM,0,0,7,2020/03/14
Bahia,BA,65,2,36,2020/03/14
Ceará,CE,22,0,59,2020/03/14
Distrito Federal,DF,107,6,65,2020/03/14
Espirito Santo,ES,51,1,21,2020/03/14
Goiás,GO,4,3,49,2020/03/14
Maranhão,MA,6,0,2,2020/03/14
Mato Grosso,MT,6,0,7,2020/03/14
Mato Grosso do Sul,MS,15,0,16,2020/03/14
Minas Gerais,MG,106,2,85,2020/03/14
Pará,PA,1,0,20,2020/03/14
Parába,PB,11,0,11,2020/03/14
Paraná,PR,60,6,50,2020/03/14
Pernambuco,PE,18,2,23,2020/03/14
Piauí,PI,1,0,2,2020/03/14
Rio de Janeiro,RJ,76,22,147,2020/03/14
Rio Grande do Norte,RN,12,1,15,2020/03/14
Rio Grande do Sul,RS,80,6,203,2020/03/14
Rondônia,RO,2,0,1,2020/03/14
Roraima,RR,0,0,0,2020/03/14
São Paulo,SP,752,65,545,2020/03/14
Santa Catarina,SC,85,4,39,2020/03/14
Sergipe,SE,4,0,3,2020/03/14
Tocantins,TO,2,0,0,2020/03/14
Acre,AC,3,0,0,2020/03/13
Alagoas,AL,6,1,7,2020/03/13
Amapá,AP,0,0,0,2020/03/13
Amazonas,AM,1,0,7,2020/03/13
Bahia,BA,65,2,36,2020/03/13
Ceará,CE,22,0,59,2020/03/13
Distrito Federal,DF,75,2,53,2020/03/13
Espirito Santo,ES,51,1,21,2020/03/13
Goiás,GO,6,3,46,2020/03/13
Maranhão,MA,6,0,2,2020/03/13
Mato Grosso,MT,6,0,7,2020/03/13
Mato Grosso do Sul,MS,15,0,16,2020/03/13
Minas Gerais,MG,116,2,73,2020/03/13
