state,state_ID,suspected_cases,confirmed_cases,not_confirmed_cases,date,deaths
Acre,AC,3,0,0,2020/03/15,0
Alagoas,AL,14,1,21,2020/03/15,0
Amapá,AP,1,0,0,2020/03/15,0
Amazonas,AM,0,1,7,2020/03/15,0
Bahia,BA,65,2,36,2020/03/15,0
Ceará,CE,22,0,59,2020/03/15,0
Distrito Federal,DF,81,8,91,2020/03/15,0
Espírito Santo,ES,51,1,21,2020/03/15,0
Goiás,GO,4,3,49,2020/03/15,0
Maranhão,MA,6,0,2,2020/03/15,0
Mato Grosso,MT,8,0,7,2020/03/15,0
Mato Grosso do Sul,MS,15,0,16,2020/03/15,0
Minas Gerais,MG,106,2,85,2020/03/15,0
Pará,PA,1,0,23,2020/03/15,0
Paraíba,PB,27,0,11,2020/03/15,0
Paraná,PR,80,6,50,2020/03/15,0
Pernambuco,PE,18,2,23,2020/03/15,0
Piauí,PI,1,0,2,2020/03/15,0
Rio de Janeiro,RJ,95,24,147,2020/03/15,0
Rio Grande do Norte,RN,14,1,15,2020/03/15,0
Rio Grande do Sul,RS,66,6,217,2020/03/15,0
Rondônia,RO,2,0,1,2020/03/15,0
Roraima,RR,2,0,0,2020/03/15,0
São Paulo,SP,1125,136,551,2020/03/15,0
Santa Catarina,SC,102,6,41,2020/03/15,0
Sergipe,SE,1,1,11,2020/03/15,0
Tocantins,TO,3,0,0,2020/03/15,0
Acre,AC,3,0,0,2020/03/14,0
Alagoas,AL,6,1,7,2020/03/14,0
Amapá,AP,1,0,0,2020/03/14,0
Amazonas,AM,0,0,7,2020/03/14,0
Bahia,BA,65,2,36,2020/03/14,0
Ceará,CE,22,0,59,2020/03/14,0
Distrito Federal,DF,107,6,65,2020/03/14,0
Espírito Santo,ES,51,1,21,2020/03/14,0
Goiás,GO,4,3,49,2020/03/14,0
Maranhão,MA,6,0,2,2020/03/14,0
Mato Grosso,MT,6,0,7,2020/03/14,0
Mato Grosso do Sul,MS,15,0,16,2020/03/14,0
Minas Gerais,MG,106,2,85,2020/03/14,0
Pará,PA,1,0,20,2020/03/14,0
Paraíba,PB,11,0,11,2020/03/14,0
Paraná,PR,60,6,50,2020/03/14,0
Pernambuco,PE,18,2,23,2020/03/14,0
Piauí,PI,1,0,2,2020/03/14,0
Rio de Janeiro,RJ,76,22,147,2020/03/14,0
Rio Grande do Norte,RN,12,1,15,2020/03/14,0
Rio Grande do Sul,RS,80,6,203,2020/03/14,0
Rondônia,RO,2,0,1,2020/03/14,0
Roraima,RR,0,0,0,2020/03/14,0
São Paulo,SP,752,65,545,2020/03/14,0
Santa Catarina,SC,85,4,39,2020/03/14,0
Sergipe,SE,4,0,3,2020/03/14,0
Tocantins,TO,2,0,0,2020/03/14,0
Acre,AC,3,0,0,2020/03/13,0
Alagoas,AL,6,1,7,2020/03/13,0
Amapá,AP,0,0,0,2020/03/13,0
Amazonas,AM,1,0,7,2020/03/13,0
Bahia,BA,65,2,36,2020/03/13,0
Ceará,CE,22,0,59,2020/03/13,0
Distrito Federal,DF,75,2,53,2020/03/13,0
Espírito Santo,ES,51,1,21,2020/03/13,0
Goiás,GO,6,3,46,2020/03/13,0
Maranhão,MA,6,0,2,2020/03/13,0
Mato Grosso,MT,6,0,7,2020/03/13,0
Mato Grosso do Sul,MS,15,0,16,2020/03/13,0
Minas Gerais,MG,116,2,73,2020/03/13,0
Pará,PA,1,0,20,2020/03/13,0
Paraíba,PB,16,0,6,2020/03/13,0
Paraná,PR,72,6,34,2020/03/13,0
Pernambuco,PE,18,2,23,2020/03/13,0
Piauí,PI,1,0,2,2020/03/13,0
Rio de Janeiro,RJ,76,16,147,2020/03/13,0
Rio Grande do Norte,RN,12,1,15,2020/03/13,0
Rio Grande do Sul,RS,81,4,203,2020/03/13,0
Rondônia,RO,2,0,1,2020/03/13,0
Roraima,RR,0,0,0,2020/03/13,0
São Paulo,SP,753,56,529,2020/03/13,0
Santa Catarina,SC,77,2,34,2020/03/13,0
Sergipe,SE,2,0,3,2020/03/13,0
Tocantins,TO,2,0,0,2020/03/13,0
Acre,AC,3,0,0,2020/03/12,0
Alagoas,AL,6,1,7,2020/03/12,0
Amapá,AP,0,0,0,2020/03/12,0
Amazonas,AM,1,0,7,2020/03/12,0
Bahia,BA,65,2,36,2020/03/12,0
Ceará,CE,22,0,42,2020/03/12,0
Distrito Federal,DF,82,2,44,2020/03/12,0
Espírito Santo,ES,51,1,21,2020/03/12,0
Goiás,GO,16,0,33,2020/03/12,0
Maranhão,MA,6,0,2,2020/03/12,0
Mato Grosso,MT,6,0,7,2020/03/12,0
Mato Grosso do Sul,MS,9,0,15,2020/03/12,0
Minas Gerais,MG,117,1,22,2020/03/12,0
Pará,PA,5,0,13,2020/03/12,0
Paraíba,PB,10,0,6,2020/03/12,0
Paraná,PR,54,6,29,2020/03/12,0
Pernambuco,PE,18,2,23,2020/03/12,0
Piauí,PI,1,0,2,2020/03/12,0
Rio de Janeiro,RJ,76,16,146,2020/03/12,0
Rio Grande do Norte,RN,12,0,15,2020/03/12,0
Rio Grande do Sul,RS,82,4,183,2020/03/12,0
Rondônia,RO,2,0,1,2020/03/12,0
Roraima,RR,0,0,0,2020/03/12,0
São Paulo,SP,714,41,465,2020/03/12,0
Santa Catarina,SC,67,0,34,2020/03/12,0
Sergipe,SE,2,0,3,2020/03/12,0
Tocantins,TO,0,0,0,2020/03/12,0
Acre,AC,3,0,0,2020/03/11,0
Alagoas,AL,4,1,7,2020/03/11,0
Amapá,AP,0,0,0,2020/03/11,0
Amazonas,AM,1,0,7,2020/03/11,0
Bahia,BA,65,2,36,2020/03/11,0
Ceará,CE,22,0,42,2020/03/11,0
Distrito Federal,DF,74,2,28,2020/03/11,0
Espírito Santo,ES,31,1,13,2020/03/11,0
Goiás,GO,17,0,28,2020/03/11,0
Maranhão,MA,6,0,2,2020/03/11,0
Mato Grosso,MT,1,0,7,2020/03/11,0
Mato Grosso do Sul,MS,6,0,11,2020/03/11,0
Minas Gerais,MG,117,1,22,2020/03/11,0
Pará,PA,5,0,13,2020/03/11,0
Paraíba,PB,7,0,6,2020/03/11,0
Paraná,PR,49,0,27,2020/03/11,0
Pernambuco,PE,17,0,22,2020/03/11,0
Piauí,PI,1,0,2,2020/03/11,0
Rio de Janeiro,RJ,87,13,133,2020/03/11,0
Rio Grande do Norte,RN,13,0,14,2020/03/11,0
Rio Grande do Sul,RS,67,2,159,2020/03/11,0
Rondônia,RO,2,0,1,2020/03/11,0
Roraima,RR,0,0,0,2020/03/11,0
São Paulo,SP,263,30,320,2020/03/11,0
Santa Catarina,SC,47,0,32,2020/03/11,0
Sergipe,SE,2,0,3,2020/03/11,0
Tocantins,TO,0,0,0,2020/03/11,0
Acre,AC,3,0,0,2020/03/10,0
Alagoas,AL,6,1,1,2020/03/10,0
Amapá,AP,0,0,0,2020/03/10,0
Amazonas,AM,3,0,4,2020/03/10,0
Bahia,BA,46,2,35,2020/03/10,0
Ceará,CE,22,0,42,2020/03/10,0
Distrito Federal,DF,59,1,24,2020/03/10,0
Espírito Santo,ES,1,1,12,2020/03/10,0
Goiás,GO,14,0,14,2020/03/10,0
Maranhão,MA,2,0,2,2020/03/10,0
Mato Grosso,MT,1,0,7,2020/03/10,0
Mato Grosso do Sul,MS,6,0,1,2020/03/10,0
Minas Gerais,MG,122,1,18,2020/03/10,0
Pará,PA,5,0,12,2020/03/10,0
Paraíba,PB,5,0,6,2020/03/10,0
Paraná,PR,33,0,20,2020/03/10,0
Pernambuco,PE,12,0,22,2020/03/10,0
Piauí,PI,1,0,2,2020/03/10,0
Rio de Janeiro,RJ,119,8,85,2020/03/10,0
Rio Grande do Norte,RN,15,0,13,2020/03/10,0
Rio Grande do Sul,RS,70,1,129,2020/03/10,0
Rondônia,RO,2,0,1,2020/03/10,0
Roraima,RR,0,0,0,2020/03/10,0
São Paulo,SP,302,19,289,2020/03/10,0
Santa Catarina,SC,42,0,28,2020/03/10,0
Sergipe,SE,2,0,3,2020/03/10,0
Tocantins,TO,0,0,0,2020/03/10,0
Acre,AC,,0,,2020/02/26,0
Alagoas,AL,,0,,2020/02/26,0
Amapá,AP,,0,,2020/02/26,0
Amazonas,AM,,0,,2020/02/26,0
Bahia,BA,,0,,2020/02/26,0
Ceará,CE,,0,,2020/02/26,0
Distrito Federal,DF,,0,,2020/02/26,0
Espírito Santo,ES,,0,,2020/02/26,0
Goiás,GO,,0,,2020/02/26,0
Maranhão,MA,,0,,2020/02/26,0
Mato Grosso,MT,,0,,2020/02/26,0
Mato Grosso do Sul,MS,,0,,2020/02/26,0
Minas Gerais,MG,,0,,2020/02/26,0
Pará,PA,,0,,2020/02/26,0
Paraíba,PB,,0,,2020/02/26,0
Paraná,PR,,0,,2020/02/26,0
Pernambuco,PE,,0,,2020/02/26,0
Piauí,PI,,0,,2020/02/26,0
Rio de Janeiro,RJ,,0,,2020/02/26,0
Rio Grande do Norte,RN,,0,,2020/02/26,0
Rio Grande do Sul,RS,,0,,2020/02/26,0
Rondônia,RO,,0,,2020/02/26,0
Roraima,RR,,0,,2020/02/26,0
São Paulo,SP,,1,,2020/02/26,0
Santa Catarina,SC,,0,,2020/02/26,0
Sergipe,SE,,0,,2020/02/26,0
Tocantins,TO,,0,,2020/02/26,0
Acre,AC,,0,,2020/03/4,0
Alagoas,AL,,0,,2020/03/4,0
Amapá,AP,,0,,2020/03/4,0
Amazonas,AM,,0,,2020/03/4,0
Bahia,BA,,0,,2020/03/4,0
Ceará,CE,,0,,2020/03/4,0
Distrito Federal,DF,,0,,2020/03/4,0
Espírito Santo,ES,,0,,2020/03/4,0
Goiás,GO,,0,,2020/03/4,0
Maranhão,MA,,0,,2020/03/4,0
Mato Grosso,MT,,0,,2020/03/4,0
Mato Grosso do Sul,MS,,0,,2020/03/4,0
Minas Gerais,MG,,0,,2020/03/4,0
Pará,PA,,0,,2020/03/4,0
Paraíba,PB,,0,,2020/03/4,0
Paraná,PR,,0,,2020/03/4,0
Pernambuco,PE,,0,,2020/03/4,0
Piauí,PI,,0,,2020/03/4,0
Rio de Janeiro,RJ,,0,,2020/03/4,0
Rio Grande do Norte,RN,,0,,2020/03/4,0
Rio Grande do Sul,RS,,0,,2020/03/4,0
Rondônia,RO,,0,,2020/03/4,0
Roraima,RR,,0,,2020/03/4,0
São Paulo,SP,,3,,2020/03/4,0
Santa Catarina,SC,,0,,2020/03/4,0
Sergipe,SE,,0,,2020/03/4,0
Tocantins,TO,,0,,2020/03/4,0
Acre,AC,,0,,2020/03/5,0
Alagoas,AL,,0,,2020/03/5,0
Amapá,AP,,0,,2020/03/5,0
Amazonas,AM,,0,,2020/03/5,0
Bahia,BA,,0,,2020/03/5,0
Ceará,CE,,0,,2020/03/5,0
Distrito Federal,DF,,0,,2020/03/5,0
Espírito Santo,ES,,1,,2020/03/5,0
Goiás,GO,,0,,2020/03/5,0
Maranhão,MA,,0,,2020/03/5,0
Mato Grosso,MT,,0,,2020/03/5,0
Mato Grosso do Sul,MS,,0,,2020/03/5,0
Minas Gerais,MG,,0,,2020/03/5,0
Pará,PA,,0,,2020/03/5,0
Paraíba,PB,,0,,2020/03/5,0
Paraná,PR,,0,,2020/03/5,0
Pernambuco,PE,,0,,2020/03/5,0
Piauí,PI,,0,,2020/03/5,0
Rio de Janeiro,RJ,,1,,2020/03/5,0
Rio Grande do Norte,RN,,0,,2020/03/5,0
Rio Grande do Sul,RS,,0,,2020/03/5,0
Rondônia,RO,,0,,2020/03/5,0
Roraima,RR,,0,,2020/03/5,0
São Paulo,SP,,6,,2020/03/5,0
Santa Catarina,SC,,0,,2020/03/5,0
Sergipe,SE,,0,,2020/03/5,0
Tocantins,TO,,0,,2020/03/5,0
Acre,AC,,0,,2020/03/5,0
Alagoas,AL,,0,,2020/03/5,0
Amapá,AP,,0,,2020/03/5,0
Amazonas,AM,,0,,2020/03/5,0
Bahia,BA,,0,,2020/03/5,0
Ceará,CE,,0,,2020/03/5,0
Distrito Federal,DF,,0,,2020/03/5,0
Espírito Santo,ES,,0,,2020/03/5,0
Goiás,GO,,0,,2020/03/5,0
Maranhão,MA,,0,,2020/03/5,0
Mato Grosso,MT,,0,,2020/03/5,0
Mato Grosso do Sul,MS,,0,,2020/03/5,0
Minas Gerais,MG,,0,,2020/03/5,0
Pará,PA,,0,,2020/03/5,0
Paraíba,PB,,0,,2020/03/5,0
Paraná,PR,,0,,2020/03/5,0
Pernambuco,PE,,0,,2020/03/5,0
Piauí,PI,,0,,2020/03/5,0
Rio de Janeiro,RJ,,0,,2020/03/5,0
Rio Grande do Norte,RN,,0,,2020/03/5,0
Rio Grande do Sul,RS,,0,,2020/03/5,0
Rondônia,RO,,0,,2020/03/5,0
Roraima,RR,,0,,2020/03/5,0
São Paulo,SP,,6,,2020/03/5,0
Santa Catarina,SC,,0,,2020/03/5,0
Sergipe,SE,,0,,2020/03/5,0
Tocantins,TO,,0,,2020/03/5,0
Acre,AC,,0,,2020/02/25,0
Alagoas,AL,,0,,2020/02/25,0
Amapá,AP,,0,,2020/02/25,0
Amazonas,AM,,0,,2020/02/25,0
Bahia,BA,,0,,2020/02/25,0
Ceará,CE,,0,,2020/02/25,0
Distrito Federal,DF,,0,,2020/02/25,0
Espírito Santo,ES,,0,,2020/02/25,0
Goiás,GO,,0,,2020/02/25,0
Maranhão,MA,,0,,2020/02/25,0
Mato Grosso,MT,,0,,2020/02/25,0
Mato Grosso do Sul,MS,,0,,2020/02/25,0
Minas Gerais,MG,,0,,2020/02/25,0
Pará,PA,,0,,2020/02/25,0
Paraíba,PB,,0,,2020/02/25,0
Paraná,PR,,0,,2020/02/25,0
Pernambuco,PE,,0,,2020/02/25,0
Piauí,PI,,0,,2020/02/25,0
Rio de Janeiro,RJ,,0,,2020/02/25,0
Rio Grande do Norte,RN,,0,,2020/02/25,0
Rio Grande do Sul,RS,,0,,2020/02/25,0
Rondônia,RO,,0,,2020/02/25,0
Roraima,RR,,0,,2020/02/25,0
São Paulo,SP,,0,,2020/02/25,0
Santa Catarina,SC,,0,,2020/02/25,0
Sergipe,SE,,0,,2020/02/25,0
Tocantins,TO,,0,,2020/02/25,0
Acre,AC,3,0,0,2020/03/16,0
Alagoas,AL,16,1,22,2020/03/16,0
Amapá,AP,2,0,0,2020/03/16,0
Amazonas,AM,0,1,7,2020/03/16,0
Bahia,BA,65,2,40,2020/03/16,0
Ceará,CE,22,0,60,2020/03/16,0
Distrito Federal,DF,107,13,93,2020/03/16,0
Espírito Santo,ES,50,1,21,2020/03/16,0
Goiás,GO,3,3,54,2020/03/16,0
Maranhão,MA,6,0,2,2020/03/16,0
Mato Grosso,MT,14,0,7,2020/03/16,0
Mato Grosso do Sul,MS,12,2,19,2020/03/16,0
Minas Gerais,MG,102,5,88,2020/03/16,0
Pará,PA,1,0,22,2020/03/16,0
Paraíba,PB,33,0,15,2020/03/16,0
Paraná,PR,85,6,83,2020/03/16,0
Pernambuco,PE,18,2,23,2020/03/16,0
Piauí,PI,2,0,3,2020/03/16,0
Rio de Janeiro,RJ,96,31,153,2020/03/16,0
Rio Grande do Norte,RN,14,1,15,2020/03/16,0
Rio Grande do Sul,RS,119,6,218,2020/03/16,0
Rondônia,RO,2,0,1,2020/03/16,0
Roraima,RR,2,0,0,2020/03/16,0
São Paulo,SP,1177,152,623,2020/03/16,0
Santa Catarina,SC,109,7,44,2020/03/16,0
Sergipe,SE,1,1,11,2020/03/16,0
Tocantins,TO,3,0,0,2020/03/16,0
